highestBiostratigraphicZone	nomenclaturalStatus	associatedTaxa	latestEpochOrHighestSeries	informationWithheld	minimumDistanceAboveSurfaceInMeters	behavior	verbatimLongitude	countryCode	associatedSequences	habitat	islandGroup	nomenclaturalCode	earliestEonOrLowestEonothem	year	taxonID	continent	nameAccordingTo	latestEraOrHighestErathem	eventID	nameAccordingToID	decimalLongitude	identifiedBy	latestEonOrHighestEonothem	catalogNumber	eventRemarks	taxonRank	verbatimDepth	originalNameUsageID	rightsHolder	lowestBiostratigraphicZone	bibliographicCitation	island	associatedMedia	group	endDayOfYear	individualCount	occurrenceRemarks	disposition	collectionID	earliestPeriodOrLowestSystem	county	eventDate	earliestEpochOrLowestSeries	formation	references	language	decimalLatitude	startDayOfYear	fieldNotes	municipality	namePublishedInYear	associatedReferences	georeferenceVerificationStatus	datasetName	locality	identificationID	type	scientificNameID	verbatimLatitude	occurrenceID	verbatimTaxonRank	verbatimSRS	order	georeferenceProtocol	locationAccordingTo	originalNameUsage	geodeticDatum	infraspecificEpithet	establishmentMeans	parentNameUsage	taxonRemarks	footprintSRS	collectionCode	class	family	footprintWKT	georeferenceRemarks	lithostratigraphicTerms	geologicalContextID	dateIdentified	higherGeographyID	pointRadiusSpatialFit	dynamicProperties	verbatimLocality	modified	month	earliestEraOrLowestErathem	samplingProtocol	footprintSpatialFit	namePublishedIn	georeferenceSources	identificationRemarks	taxonConceptID	accessRights	lifeStage	acceptedNameUsage	verbatimEventDate	typeStatus	maximumDepthInMeters	preparations	georeferencedDate	institutionID	verbatimCoordinates	vernacularName	bed	minimumElevationInMeters	maximumElevationInMeters	rights	scientificName	identificationReferences	day	fieldNumber	parentNameUsageID	acceptedNameUsageID	identificationQualifier	dataGeneralizations	sex	previousIdentifications	georeferencedBy	latestPeriodOrHighestSystem	kingdom	basisOfRecord	verbatimCoordinateSystem	waterBody	phylum	ownerInstitutionCode	latestAgeOrHighestStage	occurrenceStatus	higherClassification	institutionCode	recordedBy	datasetID	individualID	samplingEffort	member	scientificNameAuthorship	locationID	higherGeography	genus	associatedOccurrences	verbatimElevation	maximumDistanceAboveSurfaceInMeters	minimumDepthInMeters	stateProvince	taxonomicStatus	specificEpithet	subgenus	coordinatePrecision	eventTime	country	coordinateUncertaintyInMeters	identificationVerificationStatus	otherCatalogNumbers	earliestAgeOrLowestStage	recordNumber	reproductiveCondition	locationRemarks	namePublishedInID
								US				ICZN		1952		North America								1532		species									122	1	Collected in May 1952				Santa Barbara	1952-05-01				en		122							UCSB Riviera Campus, in Men's locker room		PhysicalObject			urn:catalog:CCBER:Mammals:1532			Didelphimorphia						native				Mammals	Mammalia	Didelphidae								total length in mm: 351	North America; United States; California; Santa Barbara County; UCSB Riviera Campus, in Men's locker room	2013-12-24	5									immature					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Didelphis virginiana		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Didelphimorphia:Didelphidae:Didelphis	CCBER								North America;United States;California;Santa Barbara County;;;;	Didelphis					California		virginiana				United States								
								US				ICZN		1963		North America								1388		species									262	1					Santa Barbara	1963-09-19				en		262							Trout Club		PhysicalObject			urn:catalog:CCBER:Mammals:1388			Carnivora						native				Mammals	Mammalia	Procyonidae								total length in mm: 543	North America; United States; California; Santa Barbara County; Trout Club	2013-12-24	9									immature					Skull - 1								http://creativecommons.org/publicdomain/zero/1.0/	Bassariscus astutus		19						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Carnivora:Procyonidae:Bassariscus	CCBER								North America;United States;California;Santa Barbara County;;;;	Bassariscus					California		astutus				United States								
								US				ICZN		1963		North America								1389		species									221	1					Mono	1963-08-09				en		221							1.5 mi. E Mono Mills Site		PhysicalObject			urn:catalog:CCBER:Mammals:1389			Rodentia						native				Mammals	Mammalia	Sciuridae								total length in mm: 211	North America; United States; California; Mono County; 1.5 mi. E Mono Mills Site	2013-12-24	8									adult					Skull - 1; Skin - 1							2408	http://creativecommons.org/publicdomain/zero/1.0/	Tamias panamintinus		9						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Sciuridae:Tamias	CCBER	Peirce, Richard							North America;United States;California;Mono County;;;;	Tamias		7900 ft			California		panamintinus				United States					39			
								US				ICZN		1963		North America								1392		species									1	1	Collected in January 1963				Santa Barbara	1963-01-01				en		1							Santa Ynez		PhysicalObject			urn:catalog:CCBER:Mammals:1392			Artiodactyla						native				Mammals	Mammalia	Suidae									North America; United States; California; Santa Barbara County; Santa Ynez	2013-12-24	1														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Sus scrofa		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Artiodactyla:Suidae:Sus	CCBER								North America;United States;California;Santa Barbara County;;;;	Sus					California		scrofa				United States								
								US				ICZN		1963		North America								1393		species									121	1	Collected in May 1963				Santa Barbara	1963-05-01				en		121							No data		PhysicalObject			urn:catalog:CCBER:Mammals:1393			Carnivora						native				Mammals	Mammalia	Mephitidae								total length in mm: 392	North America; United States; California; Santa Barbara County; No data	2013-12-24	5									adult					Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Spilogale gracilis		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Carnivora:Mephitidae:Spilogale	CCBER	MacLean, Steve							North America;United States;California;Santa Barbara County;;;;	Spilogale					California		gracilis				United States					139			
								US				ICZN		1962		North America								1500		species									260	1	Sick animal				Santa Barbara	1962-09-17				en		260							No data		PhysicalObject			urn:catalog:CCBER:Mammals:1500			Didelphimorphia						native				Mammals	Mammalia	Didelphidae								total length in mm: 840	North America; United States; California; Santa Barbara County; No data	2013-12-24	9									adult					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Didelphis virginiana		17						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Didelphimorphia:Didelphidae:Didelphis	CCBER								North America;United States;California;Santa Barbara County;;;;	Didelphis					California		virginiana				United States								
								US				ICZN		1952		North America								1504		species									151	1					Kern	1952-05-30				en		151							6 mi. SW Cedar Creek Camp, Sequoia National Park		PhysicalObject			urn:catalog:CCBER:Mammals:1504			Rodentia						native				Mammals	Mammalia	Cricetidae								total length in mm: 202	North America; United States; California; Kern County; 6 mi. SW Cedar Creek Camp, Sequoia National Park	2013-12-24	5														Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Neotoma fuscipes		30						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Muridae:Neotoma	CCBER	Berkman, E.							North America;United States;California;Kern County;;;;	Neotoma					California		fuscipes				United States					8			
								US				ICZN		1962		North America								1505		species									182	1	Dead on road; Collected in July 1962				Santa Barbara	1962-07-01				en		182							Santa Barbara		PhysicalObject			urn:catalog:CCBER:Mammals:1505			Carnivora						native				Mammals	Mammalia	Mustelidae									North America; United States; California; Santa Barbara County; Santa Barbara	2013-12-24	7									adult					Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Taxidea taxus		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Carnivora:Mustelidae:Taxidea	CCBER	Bennett, Jodi							North America;United States;California;Santa Barbara County;;;;	Taxidea					California		taxus				United States					142			
								US				ICZN		1962		North America								1506		species									121	1	trapped mesquite flat; Collected in May 1962				San Bernardino	1962-05-01				en		121							US 66, 25 mi. E Daggett		PhysicalObject			urn:catalog:CCBER:Mammals:1506			Rodentia						native				Mammals	Mammalia	Cricetidae								total length in mm: 258	North America; United States; California; San Bernardino County; US 66, 25 mi. E Daggett	2013-12-24	5														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Neotoma lepida		1						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Muridae:Neotoma	CCBER								North America;United States;California;San Bernardino County;;;;	Neotoma					California		lepida				United States								
								US				ICZN		1962		North America								1507		species									60	1	Dead on road; Collected in May 1962				Santa Barbara	1962-03-01				en		60							Corner of San Marcos Pass Rd and Hwy 154		PhysicalObject			urn:catalog:CCBER:Mammals:1507			Rodentia						native				Mammals	Mammalia	Sciuridae									North America; United States; California; Santa Barbara County; Corner of San Marcos Pass Rd and Hwy 154	2013-12-24	3									adult					Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Spermophilus beecheyi		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Sciuridae:Spermophilus	CCBER								North America;United States;California;Santa Barbara County;;;;	Spermophilus					California		beecheyi				United States								
								US				ICZN		1949		North America								1508		species									274	1	Cattail marsh; Collected in October 1949				Santa Barbara	1949-10-01				en		274							El Capitan		PhysicalObject			urn:catalog:CCBER:Mammals:1508			Rodentia						native				Mammals	Mammalia	Muridae								total length in mm: 362	North America; United States; California; Santa Barbara County; El Capitan	2013-12-24	10									subadult					Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Rattus rattus		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Muridae:Rattus	CCBER	Wilson, Harold							North America;United States;California;Santa Barbara County;;;;	Rattus					California		rattus				United States					17			
								US				ICZN		1962		North America								1509		species									132	1					San Bernardino	1962-05-12				en		132							Newberry		PhysicalObject			urn:catalog:CCBER:Mammals:1509			Rodentia						native				Mammals	Mammalia	Sciuridae								total length in mm: 234	North America; United States; California; San Bernardino County; Newberry	2013-12-24	5									adult					Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Spermophilus tereticaudus		12						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Sciuridae:Spermophilus	CCBER	Bennett, Jodi							North America;United States;California;San Bernardino County;;;;	Spermophilus					California		tereticaudus				United States					97			
								US				ICZN		1953		North America								1511		species									148	1					Fresno	1953-05-28				en		148							Warthan Canyon, 5 mi. W Coalinga		PhysicalObject			urn:catalog:CCBER:Mammals:1511			Rodentia						native				Mammals	Mammalia	Sciuridae								total length in mm: 222	North America; United States; California; Fresno County; Warthan Canyon, 5 mi. W Coalinga	2013-12-24	5														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Ammospermophilus nelsoni		28						female				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Sciuridae:Ammospermophilus	CCBER	Wilson, Harold							North America;United States;California;Fresno County;;;;	Ammospermophilus					California		nelsoni				United States					111			
								US				ICZN		1946		North America								1513		species									117	1					Santa Barbara	1946-04-27				en		117							San Marcos Pass Rd.		PhysicalObject			urn:catalog:CCBER:Mammals:1513			Rodentia						native				Mammals	Mammalia	Sciuridae								total length in mm: 233	North America; United States; California; Santa Barbara County; San Marcos Pass Rd.	2013-12-24	4									adult					Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Tamias merriami		27						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Sciuridae:Tamias	CCBER	Decker, Helen							North America;United States;California;Santa Barbara County;;;;	Tamias					California		merriami				United States					3			
								US				ICZN		1962		North America								1514		species									121	1	Trapped; Collected in May 1962				San Bernardino	1962-05-01				en		121							Newberry		PhysicalObject			urn:catalog:CCBER:Mammals:1514			Rodentia						native				Mammals	Mammalia	Heteromyidae								total length in mm: 230	North America; United States; California; San Bernardino County; Newberry	2013-12-24	5														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Dipodomys merriami		1										Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Heteromyidae:Dipodomys	CCBER								North America;United States;California;San Bernardino County;;;;	Dipodomys					California		merriami				United States								
								US				ICZN		1949		North America								1516		species									60	1	Collected in March 1949				Riverside	1949-03-01				en		60							1 mi. up Whitewater Canyon		PhysicalObject			urn:catalog:CCBER:Mammals:1516			Rodentia						native				Mammals	Mammalia	Cricetidae								total length in mm: 188	North America; United States; California; Riverside County; 1 mi. up Whitewater Canyon	2013-12-24	3														Skull - 1; Skin - 1								http://creativecommons.org/publicdomain/zero/1.0/	Peromyscus eremicus		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Cricetidae:Peromyscus	CCBER	Erickson, Mary							North America;United States;California;Riverside County;;;;	Peromyscus					California		eremicus				United States					1246			
								US				ICZN		1962		North America								1517		species									91	1	Collected in April 1962				Los Angeles	1962-04-01				en		91							Van Nuys, Magnolia Blvd		PhysicalObject			urn:catalog:CCBER:Mammals:1517			Rodentia						native				Mammals	Mammalia	Geomyidae								total length in mm: 256	North America; United States; California; Los Angeles County; Van Nuys, Magnolia Blvd	2013-12-24	4														Skull - 1								http://creativecommons.org/publicdomain/zero/1.0/	Thomomys bottae		1						male				Animalia	PreservedSpecimen			Chordata			present	Animalia:Chordata:Mammalia:Rodentia:Geomyidae:Thomomys	CCBER	Warrick, Ted							North America;United States;California;Los Angeles County;;;;	Thomomys					California		bottae				United States					5			
